Transaction ID,Date,Customer Name,Unique Customer Name,Product Name,Category,Region,Sales Value,Discount,Profit Margin,Payment Method,Year,Month,Week,First Sale,Cohort Group,Repeated Customer Fixed,Repeated Customer Yes/No,Count Yes Reap,Count No Reap,SN. Total Unique Customer,SN. Total Repeating Customer,SN. Total Non Repeating Customer,Retention Rate
T0001,1/1/2024,Customer_103,Customer_103,Product D,Cosmetics,South,290.29,41.27,61.44,Credit Card,2024,1,1,1/1/2024,24-Jan,Customer_103,Yes,1,0,284,245,39,86.27%
T0002,1/2/2024,Customer_271,Customer_271,Product C,Household,East,113.96,33.32,26.64,Cash,2024,1,1,2/1/2024,24-Jan,Customer_271,Yes,1,0,,,,
T0003,1/3/2024,Customer_107,Customer_107,Product B,Household,South,55.27,40.02,15.36,Mobile Payment,2024,1,1,3/1/2024,24-Jan,Customer_107,Yes,1,0,,,,
T0004,1/4/2024,Customer_72,Customer_72,Product A,Cosmetics,East,239.92,14.33,64.39,Mobile Payment,2024,1,1,4/1/2024,24-Jan,Customer_72,Yes,1,0,,,,
T0005,1/5/2024,Customer_189,Customer_189,Product B,Cosmetics,West,182.77,34.93,78.73,Mobile Payment,2024,1,1,5/1/2024,24-Jan,Customer_189,Yes,1,0,,,,
T0006,1/6/2024,Customer_21,Customer_21,Product C,Electronics,West,268.7,13.94,57.11,Credit Card,2024,1,1,6/1/2024,24-Jan,Customer_21,Yes,1,0,,,,
T0007,1/7/2024,Customer_103,Repeated,Product C,Groceries,South,309.74,47.01,30.41,Credit Card,2024,1,2,1/1/2024,24-Jan,Repeated,Yes,1,0,,,,
T0008,1/8/2024,Customer_122,Customer_122,Product B,Household,South,69.68,32.18,69.99,Mobile Payment,2024,1,2,8/1/2024,24-Jan,Customer_122,Yes,1,0,,,,
T0009,1/9/2024,Customer_215,Customer_215,Product B,Electronics,West,105.35,16.9,17.21,Bank Transfer,2024,1,2,9/1/2024,24-Jan,Customer_215,Yes,1,0,,,,
T0010,1/10/2024,Customer_88,Customer_88,Product B,Cosmetics,South,301.39,14.21,49.77,Mobile Payment,2024,1,2,10/1/2024,24-Jan,Customer_88,No,0,1,,,,
T0011,1/11/2024,Customer_100,Customer_100,Product D,Groceries,East,204.43,10.36,24.7,Cash,2024,1,2,11/1/2024,24-Jan,Customer_100,Yes,1,0,,,,
T0012,1/12/2024,Customer_152,Customer_152,Product A,Electronics,East,378.13,35.04,26.6,Credit Card,2024,1,2,12/1/2024,24-Jan,Customer_152,Yes,1,0,,,,
T0013,1/13/2024,Customer_131,Customer_131,Product B,Household,West,343.53,11.72,28.21,Cash,2024,1,2,13/01/2024,24-Jan,Customer_131,Yes,1,0,,,,
T0014,1/14/2024,Customer_150,Customer_150,Product B,Electronics,North,430.52,30.17,44.8,Cash,2024,1,3,14/01/2024,24-Jan,Customer_150,Yes,1,0,,,,
T0015,1/15/2024,Customer_258,Customer_258,Product B,Household,East,361.62,13.97,14.6,Credit Card,2024,1,3,15/01/2024,24-Jan,Customer_258,Yes,1,0,,,,
T0016,1/16/2024,Customer_294,Customer_294,Product C,Cosmetics,South,243.47,33.44,45.8,Bank Transfer,2024,1,3,16/01/2024,24-Jan,Customer_294,Yes,1,0,,,,
T0017,1/17/2024,Customer_192,Customer_192,Product C,Groceries,North,352.83,40.93,56.05,Mobile Payment,2024,1,3,17/01/2024,24-Jan,Customer_192,Yes,1,0,,,,
T0018,1/18/2024,Customer_277,Customer_277,Product D,Groceries,North,173.92,39.12,53.5,Cash,2024,1,3,18/01/2024,24-Jan,Customer_277,Yes,1,0,,,,
T0019,1/19/2024,Customer_161,Customer_161,Product A,Groceries,East,187.84,38.28,44.45,Credit Card,2024,1,3,19/01/2024,24-Jan,Customer_161,Yes,1,0,,,,
T0020,1/20/2024,Customer_22,Customer_22,Product D,Cosmetics,East,405.04,10.2,85.52,Cash,2024,1,3,20/01/2024,24-Jan,Customer_22,Yes,1,0,,,,
T0021,1/21/2024,Customer_253,Customer_253,Product A,Household,North,250.89,5.33,23.08,Mobile Payment,2024,1,4,21/01/2024,24-Jan,Customer_253,Yes,1,0,,,,
T0022,1/22/2024,Customer_236,Customer_236,Product C,Cosmetics,North,409.27,35.25,55.51,Bank Transfer,2024,1,4,22/01/2024,24-Jan,Customer_236,Yes,1,0,,,,
